ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,theme_23,best_theme,best_score
LEN,2021,0.022150312072866052,0.02254320713001059,0.0026586488787475045,0.0026696375244689378,0.014737321147767874,0.014444240048874088,0.14140799675789362,0.015950669686510904,0.014836809887720896,0.01420303776030331,0.013953653545952538,0.015642793559612258,0.026209875193169512,0.029645175679131455,0.0218397114699503,0.017913772300314434,0.029256567452643246,0.03498441857807643,0.017940939650261094,0.026972418759170388,0.030010764550479303,0.027458131361316973,0.01958086224835286,0.02396479138738491,theme_6,0.14140799675789362
LH,2021,0.008676607226248507,0.02788844283771307,0.0013631497472092076,0.001369620144327216,0.00788918099167112,0.007577257811019647,0.018094901982952088,0.01463484064392629,0.01283940744285967,0.012529501392973205,0.007077939820196851,0.008391650251722504,0.010703639290443797,0.010019808812204054,0.018952684672105386,0.007036163082098113,0.010994839181308357,0.017012880533029726,0.008833008208918058,0.012337225023678728,0.00970837003544745,0.009339733577865935,0.008899873428628028,0.00891901687964039,theme_1,0.02788844283771307
LHX,2021,2.492339715579061e-308,1.4843464388262392e-307,4.850790622188255e-309,4.874021925443144e-309,2.2246892942003583e-308,2.1311477105715596e-308,3.0611041625108426e-308,1.0,2.8994122789601038e-307,2.096045957679842e-307,1.7752914771480586e-308,1.9551115418752046e-308,2.0685435501950203e-308,2.042135856155429e-308,3.067077649244735e-308,1.816372795574963e-308,2.2020021116968425e-308,2.620972914026283e-308,1.841114647105876e-308,2.2267785598098436e-308,2.1993779858610373e-308,1.976184376555678e-308,1.8543813272229713e-308,1.864498716241362e-308,theme_7,1.0
LII,2021,2.462446856998262e-308,2.9557609832885105e-308,4.829622312094583e-309,4.852383806502193e-309,2.954533558205206e-308,2.897618067697316e-308,4.783789348178364e-308,2.302540266887141e-308,2.190817924940945e-308,2.1456842249560466e-308,4.1594304139014306e-308,5.78775271619658e-308,1.076049341200693e-307,5.996363950390298e-308,5.878973696913358e-308,3.244565829974146e-308,7.662136532573393e-308,1.3046572063852862e-307,1.244359230009155e-307,1.0,4.662108863755317e-308,6.235444735379424e-308,9.407585862852773e-308,7.595519840535411e-308,theme_19,1.0
LIN,2021,0.011122779558878032,0.01280919515800813,0.0024112350867106815,0.0024231546016895626,0.017239350518443088,0.01739876530152993,0.016682765936483764,0.01038351932153191,0.01007977808000227,0.009821545154945802,0.03112162440288533,0.061412333896263466,0.031598049016015886,0.017094256456964923,0.019546349158993233,0.011702652941538192,0.024418844767055525,0.03059390377794541,0.03597256204475403,0.05495151710583263,0.015431976591405858,0.01887608890942486,0.025210438040672443,0.020556582935828956,theme_11,0.061412333896263466
LITE,2021,0.009358698284358032,0.010618330863819607,0.0020100071734360826,0.0020190233792150105,0.009063416462125315,0.009012031671293021,0.01896242320713505,0.008609572411559418,0.008146089639155193,0.008051619698980559,0.013444458015951061,0.016834123483385418,0.03182916248028487,0.039731416087515105,0.021684182822222,0.014611542996224339,0.02086313305505754,0.02743526198424779,0.04465600444272527,0.04364675473823537,0.021171115859999916,0.030802212923808966,0.13610510719207233,0.04897935510374132,theme_22,0.13610510719207233
LLY,2021,2.152301034095424e-308,4.1115238619517366e-308,4.75860592376842e-309,4.782412695881566e-309,2.346651488405092e-308,2.2511331818082083e-308,3.820331096240257e-308,3.028112065033879e-308,2.7864924338322987e-308,2.8455885428176114e-308,2.3840950030360215e-308,2.975642065747582e-308,3.943161823448371e-308,3.4714771963713586e-308,1.0,2.106461028079751e-308,3.7253059505613746e-308,6.172643452377769e-308,3.8137890868164907e-308,4.830343985525697e-308,2.738581375755666e-308,2.953091306987199e-308,3.7339183424607632e-308,3.1398192603282855e-308,theme_14,1.0
LMT,2021,1.9539558187307936e-308,2.117137257706375e-308,4.772920224444937e-309,4.79585133297526e-309,2.2864341191201267e-308,2.2867372462178035e-308,3.065889015004297e-308,1.754857720391614e-308,1.686659833329307e-308,1.6683179299283585e-308,3.3442053682312606e-308,4.3423295263672526e-308,6.467028505560381e-308,4.545176026234624e-308,3.852194929046248e-308,2.6257155811640383e-308,4.276780766478392e-308,5.160857080325693e-308,1.0,1.1034058038251321e-307,3.4054984556382417e-308,4.701941136410399e-308,1.1768120105414647e-307,6.028714496323694e-308,theme_18,1.0
LNT,2021,2.000317407957985e-308,2.0137126930590155e-308,4.739491217372694e-309,4.763780892296775e-309,3.950157605000725e-308,4.60902791902421e-308,2.32079415890849e-308,1.750264755230188e-308,1.74208194726612e-308,1.677453865267837e-308,1.0,1.159537683489703e-307,3.2246428475555725e-308,2.1766967247098474e-308,2.3254350080163803e-308,1.8590467830812036e-308,3.1105303568974753e-308,3.1505221439513205e-308,3.186554786375614e-308,4.0572765991252524e-308,2.241392585596858e-308,2.516719677434505e-308,2.644308239596671e-308,2.527979279687181e-308,theme_10,1.0
LOW,2021,0.014639048459907619,0.015764078469552835,0.002665283124529983,0.0026774617645714638,0.017205157983554265,0.01637287865180275,0.026172811780383925,0.012288863319673524,0.011714429515881683,0.011385707839238103,0.018225593875491636,0.020548404266308305,0.04639709830824227,0.02596997522197128,0.02219454712312498,0.01477978116915006,0.2055059951021716,0.06788120957254844,0.0267264814771607,0.04234024921490658,0.02118319064154531,0.027058724351919736,0.024163862727491575,0.02761811212200706,theme_16,0.2055059951021716
