ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,best_theme,best_score
APA,2021,2.8086337217379e-309,2.886580031713937e-309,4.337209358516869e-307,1.0,2.8240535058697e-309,2.859462121415367e-309,2.83666951219016e-309,2.85383624292629e-309,2.845029318378775e-309,2.842127654335725e-309,2.847221543972377e-309,2.873234962346552e-309,2.833787760771294e-309,2.850509855767806e-309,2.855060797330934e-309,2.83206020741983e-309,2.867963546519565e-309,2.877429431977595e-309,2.90409591267495e-309,2.84646944672709e-309,2.846793047331214e-309,theme_3,1.0
APD,2021,0.007596107516130619,0.022238451179786515,0.0016112502404477356,0.001614220188263302,0.015255196362291933,0.013871170410347312,0.011892804190841148,0.014061375591800587,0.011962520438402412,0.013973485745982377,0.013161728540295467,0.016447819438070187,0.018124983228102763,0.022332490528093198,0.018517262071169226,0.012564988711749029,0.14145912317790568,0.05316924407022303,0.10226658784819459,0.24420466759596599,0.12240207662387804,theme_19,0.24420466759596599
APH,2021,0.20510475180814058,0.015845344795345224,0.002011057911609874,0.0020145738801743787,0.02482376085217361,0.02287433745756932,0.02745127419143146,0.01834051829223852,0.035101372249247094,0.02022182780968424,0.024891968421614497,0.017348851091447317,0.017950441269557124,0.01714797469571158,0.016666868726856084,0.016018023255500266,0.010532136562478728,0.012186351939882637,0.011133199592544763,0.010177447240231249,0.01035493377637551,theme_0,0.20510475180814058
APP,2021,1.3584577805221496e-308,3.5705195388894803e-308,2.82840634038055e-309,2.833659203033765e-309,2.841387237448658e-308,2.526883882984168e-308,2.134827044101736e-308,2.5795780022949744e-308,2.139099930128067e-308,2.538028685890294e-308,2.374527529709476e-308,3.1077220498648403e-308,3.288027213132458e-308,4.1639326177931645e-308,3.559550827716941e-308,2.3928046946942765e-308,2.626588233206412e-307,9.737263620534816e-308,9.963768788407847e-308,3.08939109288474e-307,1.0,theme_20,1.0
APTV,2021,0.011153940633430297,0.04451079975986054,0.0018729885950964085,0.001876320695447966,0.029951088990753435,0.025507249650331,0.020777506581198698,0.025960689162044335,0.020559419294127235,0.0259497237697718,0.02374191234761001,0.03135636841674957,0.0390891188712597,0.053769544282785235,0.03680088985958984,0.021289691137656604,0.09845945322034422,0.09715914870526114,0.07680704868412495,0.07193220774888148,0.0766837478400403,theme_16,0.09845945322034422
ARE,2021,0.012872413899176609,0.01582313590213049,0.0015171758499355117,0.001519803832249934,0.05446843652895832,0.03333670650199619,0.022328883285919983,0.042157823293971886,0.020060699296120893,0.031176206989110118,0.02740255052971309,0.06534410747865425,0.03852868257911677,0.035905011430035244,0.049915762204990555,0.03647894012979759,0.013864120621656617,0.01818476073907116,0.015187282378460483,0.012958150551906777,0.013248392167809288,theme_11,0.06534410747865425
ARES,2021,0.008339218969649507,0.025387002648890284,0.0016271206545935785,0.0016301179307167228,0.01876633863662935,0.01628455298605982,0.013699517200888469,0.016751310892747538,0.013563391555287093,0.016547762109562082,0.015297116550730338,0.020085555428758277,0.022727247553788722,0.029802290346057563,0.02351170908043712,0.014997239359161783,0.20188189636449047,0.08655515208260353,0.07314369970669435,0.13498231648155018,0.1734197323728212,theme_16,0.20188189636449047
ATO,2021,0.013541642282762825,0.0154038488914411,0.0016196024795330762,0.0016225141025308287,0.06997746745328925,0.02686765377660763,0.019023707281931115,0.029722889490955813,0.01917857124911383,0.0240494415173931,0.022217930929796795,0.04042217482753648,0.02785714386225041,0.029870146963093713,0.07569512970951356,0.07976340531047893,0.014194879433568156,0.01740421916949077,0.014995734242011487,0.01345245645587538,0.013777215915658707,theme_15,0.07976340531047893
AVB,2021,0.013005719098395188,0.05332402796302698,0.0021043728658692437,0.002108124098448599,0.03650356755256615,0.029602551720849867,0.023807386459141378,0.030578439013384442,0.022874562405002147,0.030249009377878323,0.02730220952366481,0.04023673086936384,0.052228461838436734,0.09054498352278069,0.04600626852849395,0.024394356776415924,0.0633532953898111,0.10981764760365072,0.06752908514344062,0.0526918669419202,0.054278614282446506,theme_17,0.10981764760365072
AVGO,2021,2.105142413700534e-308,7.218933524589976e-308,2.83679237331111e-309,2.84176648640483e-309,7.904025487290888e-308,5.830367121797047e-308,4.3129322969414644e-308,5.647229090816939e-308,4.0956045471939076e-308,5.70869200624531e-308,5.117227145106096e-308,9.258109616738174e-308,1.3689813018342012e-307,1.0,9.55244658867253e-308,4.2885014997282933e-308,5.220001281816232e-308,8.476477895193239e-308,5.880314304558935e-308,4.668578205570774e-308,4.770381135227232e-308,theme_13,1.0
