method,year,theme_id,n_members,avg_affinity,members
tfidf,2023,3,14,0.692,"BAC, BK, CFG, FITB, HBAN, JPM, KEY, MTB, NTRS, PNC, RF, TFC, USB, WFC"
tfidf,2023,18,17,0.682,"ACGL, AFL, AIG, AJG, BRK-B, BRO, CB, CINF, EG, ERIE, GL, HIG, MET, PGR, TRV, VRSK, WRB"
tfidf,2023,8,27,0.628,"AWK, BF-B, BG, CSCO, DAL, EL, EPAM, EXR, FDX, FFIV, FIX, GE, GILD, GRMN, HST, HSY, INTC, KO, LHX, MCD, NEE, NXPI, PEP, PYPL, RMD, TPL, WM"
tfidf,2023,1,27,0.618,"ALL, AMGN, APH, AZO, BMY, CI, COF, CPRT, DGX, EOG, F, FE, GS, IP, KVUE, MCO, MSI, NDSN, NEM, NKE, ON, PFE, SCHW, SO, UPS, WMB, ZTS"
tfidf,2023,2,19,0.583,"ABNB, BIIB, CCI, DHR, FAST, FTV, GPN, HAS, HD, ISRG, J, MA, PWR, ROK, STZ, TECH, TT, VLTO, VRT"
tfidf,2023,22,19,0.562,"BBY, CASY, COST, DECK, DG, DLTR, DPZ, KR, LOW, ORLY, RL, ROST, TGT, TJX, TPR, TSCO, ULTA, WMT, WSM"
tfidf,2023,16,18,0.559,"AAPL, AMZN, CHTR, CMCSA, DIS, EA, FOX, FOXA, NFLX, NWS, NWSA, SATS, T, TMUS, TTWO, VRSN, VZ, WBD"
tfidf,2023,21,22,0.54,"AMCR, AVY, BALL, CAG, CL, CLX, CMG, CPB, GIS, HRL, IFF, KHC, KMB, MDLZ, MKC, PG, PKG, PPG, SBUX, SJM, SYY, TSN"
tfidf,2023,6,22,0.503,"BXP, CBRE, CPT, CSGP, DHI, DOC, EQR, ESS, FRT, KIM, LEN, MCHP, MU, NDAQ, NVR, PLD, REG, SPG, UDR, VTR, VTRS, WELL"
tfidf,2023,15,27,0.477,"ALLE, AME, APD, BKR, BLDR, CARR, CAT, CRH, DE, DOV, EME, GNRC, HAL, HUBB, HWM, IEX, ITW, JCI, LII, LIN, MTD, NUE, OTIS, PCAR, PH, SLB, TDY"
tfidf,2023,19,27,0.433,"ADBE, AKAM, AMD, ANET, APP, AVGO, CIEN, CRM, CRWD, DDOG, DLR, EQIX, FTNT, GDDY, GOOG, GOOGL, HPE, IRM, META, MSFT, NOW, NTAP, NVDA, ORCL, PANW, PLTR, XYZ"
