ticker,year,filing_date,text_path,char_count,extraction_method,status
CAG,2023,2024-07-11,data\edgar\filings\CAG_2023.txt,30000,item1_extracted,ok
CAH,2019,2020-08-13,data\edgar\filings\CAH_2019.txt,30000,full_text_fallback,ok
CAH,2021,2022-08-11,data\edgar\filings\CAH_2021.txt,30000,full_text_fallback,ok
CAH,2023,2024-08-14,data\edgar\filings\CAH_2023.txt,30000,full_text_fallback,ok
CARR,2021,2022-02-08,data\edgar\filings\CARR_2021.txt,27656,item1_extracted,ok
CARR,2023,2024-02-06,data\edgar\filings\CARR_2023.txt,27158,item1_extracted,ok
CASY,2019,2020-06-26,data\edgar\filings\CASY_2019.txt,18910,item1_extracted,ok
CASY,2021,2022-06-24,data\edgar\filings\CASY_2021.txt,29277,item1_extracted,ok
CASY,2023,2024-06-24,data\edgar\filings\CASY_2023.txt,28158,item1_extracted,ok
CAT,2019,2020-02-19,data\edgar\filings\CAT_2019.txt,30000,item1_extracted,ok
CAT,2021,2022-02-16,data\edgar\filings\CAT_2021.txt,30000,item1_extracted,ok
CAT,2023,2024-02-16,data\edgar\filings\CAT_2023.txt,30000,item1_extracted,ok
CB,2019,2020-02-27,data\edgar\filings\CB_2019.txt,30000,item1_extracted,ok
CB,2021,2022-02-24,data\edgar\filings\CB_2021.txt,30000,item1_extracted,ok
CB,2023,2024-02-23,data\edgar\filings\CB_2023.txt,30000,item1_extracted,ok
CBOE,2019,2020-02-21,data\edgar\filings\CBOE_2019.txt,30000,item1_extracted,ok
CBOE,2021,2022-02-18,data\edgar\filings\CBOE_2021.txt,30000,item1_extracted,ok
CBOE,2023,2024-02-16,data\edgar\filings\CBOE_2023.txt,30000,item1_extracted,ok
CBRE,2019,2020-03-02,data\edgar\filings\CBRE_2019.txt,28992,item1_extracted,ok
CBRE,2021,2022-03-01,data\edgar\filings\CBRE_2021.txt,30000,item1_extracted,ok
CBRE,2023,2024-02-20,data\edgar\filings\CBRE_2023.txt,28747,item1_extracted,ok
CCI,2019,2020-03-10,data\edgar\filings\CCI_2019.txt,5604,item1_extracted,ok
CCI,2021,2022-02-22,data\edgar\filings\CCI_2021.txt,6119,item1_extracted,ok
CCI,2023,2024-02-23,data\edgar\filings\CCI_2023.txt,3773,item1_extracted,ok
CCL,2019,2020-01-28,data\edgar\filings\CCL_2019.txt,1043,item1_extracted,ok
CCL,2021,2022-01-27,data\edgar\filings\CCL_2021.txt,916,item1_extracted,ok
CCL,2023,2024-01-26,data\edgar\filings\CCL_2023.txt,1050,item1_extracted,ok
CDNS,2019,2020-02-24,data\edgar\filings\CDNS_2019.txt,30000,item1_extracted,ok
CDNS,2021,2022-02-22,data\edgar\filings\CDNS_2021.txt,30000,item1_extracted,ok
CDNS,2023,2024-02-14,data\edgar\filings\CDNS_2023.txt,30000,item1_extracted,ok
CDW,2019,2020-02-28,data\edgar\filings\CDW_2019.txt,14929,item1_extracted,ok
CDW,2021,2022-02-28,data\edgar\filings\CDW_2021.txt,15810,item1_extracted,ok
CDW,2023,2024-02-26,data\edgar\filings\CDW_2023.txt,14172,item1_extracted,ok
CEG,2021,2022-02-25,data\edgar\filings\CEG_2021.txt,30000,item1_start_only,ok
CEG,2023,2024-02-27,data\edgar\filings\CEG_2023.txt,30000,item1_start_only,ok
CF,2019,2020-02-24,data\edgar\filings\CF_2019.txt,30000,item1_extracted,ok
CF,2021,2022-02-24,data\edgar\filings\CF_2021.txt,30000,item1_extracted,ok
CF,2023,2024-02-22,data\edgar\filings\CF_2023.txt,30000,item1_extracted,ok
CFG,2019,2020-02-24,data\edgar\filings\CFG_2019.txt,11675,item1_extracted,ok
CFG,2021,2022-02-23,data\edgar\filings\CFG_2021.txt,14841,item1_extracted,ok
CFG,2023,2024-02-16,data\edgar\filings\CFG_2023.txt,13099,item1_extracted,ok
CHD,2019,2020-02-18,data\edgar\filings\CHD_2019.txt,30000,full_text_fallback,ok
CHD,2021,2022-02-17,data\edgar\filings\CHD_2021.txt,30000,full_text_fallback,ok
CHD,2023,2024-02-15,data\edgar\filings\CHD_2023.txt,30000,full_text_fallback,ok
CHRW,2019,2020-02-19,data\edgar\filings\CHRW_2019.txt,30000,item1_extracted,ok
CHRW,2021,2022-02-23,data\edgar\filings\CHRW_2021.txt,30000,item1_extracted,ok
CHRW,2023,2024-02-16,data\edgar\filings\CHRW_2023.txt,30000,item1_extracted,ok
CHTR,2019,2020-01-31,data\edgar\filings\CHTR_2019.txt,30000,item1_extracted,ok
CHTR,2021,2022-01-28,data\edgar\filings\CHTR_2021.txt,30000,item1_extracted,ok
CHTR,2023,2024-02-02,data\edgar\filings\CHTR_2023.txt,30000,item1_extracted,ok
CI,2019,2020-02-27,data\edgar\filings\CI_2019.txt,30000,item1_start_only,ok
CI,2021,2022-02-24,data\edgar\filings\CI_2021.txt,224,item1_extracted,ok
CI,2023,2024-02-29,data\edgar\filings\CI_2023.txt,277,item1_extracted,ok
CIEN,2019,2020-12-18,data\edgar\filings\CIEN_2019.txt,30000,item1_extracted,ok
CIEN,2021,2022-12-16,data\edgar\filings\CIEN_2021.txt,30000,item1_extracted,ok
CIEN,2023,2024-12-20,data\edgar\filings\CIEN_2023.txt,30000,item1_extracted,ok
CINF,2019,2020-02-25,data\edgar\filings\CINF_2019.txt,30000,item1_start_only,ok
CINF,2021,2022-02-24,data\edgar\filings\CINF_2021.txt,30000,item1_start_only,ok
CINF,2023,2024-02-26,data\edgar\filings\CINF_2023.txt,30000,item1_start_only,ok
CL,2019,2020-02-21,data\edgar\filings\CL_2019.txt,12119,item1_extracted,ok
CL,2021,2022-02-17,data\edgar\filings\CL_2021.txt,13083,item1_extracted,ok
CL,2023,2024-02-15,data\edgar\filings\CL_2023.txt,27266,item1_extracted,ok
CLX,2019,2020-08-13,data\edgar\filings\CLX_2019.txt,30000,item1_start_only,ok
CLX,2021,2022-08-10,data\edgar\filings\CLX_2021.txt,30000,item1_start_only,ok
CLX,2023,2024-08-08,data\edgar\filings\CLX_2023.txt,29999,item1_start_only,ok
CMCSA,2019,2020-01-30,data\edgar\filings\CMCSA_2019.txt,30000,item1_start_only,ok
CMCSA,2021,2022-02-02,data\edgar\filings\CMCSA_2021.txt,30000,item1_start_only,ok
CMCSA,2023,2024-01-31,data\edgar\filings\CMCSA_2023.txt,30000,item1_start_only,ok
CME,2019,2020-02-28,data\edgar\filings\CME_2019.txt,30000,item1_extracted,ok
CME,2021,2022-02-25,data\edgar\filings\CME_2021.txt,30000,item1_extracted,ok
CME,2023,2024-02-28,data\edgar\filings\CME_2023.txt,30000,item1_extracted,ok
CMG,2019,2020-02-05,data\edgar\filings\CMG_2019.txt,25312,item1_extracted,ok
CMG,2021,2022-02-11,data\edgar\filings\CMG_2021.txt,23183,item1_extracted,ok
CMG,2023,2024-02-08,data\edgar\filings\CMG_2023.txt,29160,item1_extracted,ok
CMI,2019,2020-02-11,data\edgar\filings\CMI_2019.txt,30000,item1_extracted,ok
CMI,2021,2022-02-08,data\edgar\filings\CMI_2021.txt,30000,item1_extracted,ok
CMI,2023,2024-02-12,data\edgar\filings\CMI_2023.txt,30000,item1_extracted,ok
CMS,2019,2020-02-06,data\edgar\filings\CMS_2019.txt,23035,item1_extracted,ok
CMS,2021,2022-02-10,data\edgar\filings\CMS_2021.txt,24187,item1_extracted,ok
CMS,2023,2024-02-08,data\edgar\filings\CMS_2023.txt,26112,item1_extracted,ok
CNC,2019,2020-02-18,data\edgar\filings\CNC_2019.txt,30000,item1_extracted,ok
CNC,2021,2022-02-22,data\edgar\filings\CNC_2021.txt,30000,item1_extracted,ok
CNC,2023,2024-02-20,data\edgar\filings\CNC_2023.txt,30000,item1_extracted,ok
CNP,2019,2020-02-27,data\edgar\filings\CNP_2019.txt,30000,item1_extracted,ok
CNP,2021,2022-02-22,data\edgar\filings\CNP_2021.txt,18358,item1_extracted,ok
CNP,2023,2024-02-20,data\edgar\filings\CNP_2023.txt,20237,item1_extracted,ok
COF,2019,2020-02-20,data\edgar\filings\COF_2019.txt,30000,item1_start_only,ok
COF,2021,2022-02-25,data\edgar\filings\COF_2021.txt,30000,item1_start_only,ok
COF,2023,2024-02-23,data\edgar\filings\COF_2023.txt,204,item1_extracted,ok
