ticker,year,cik,accession,filing_date,doc_url
BF-B,2019,0000014693,0000014693-20-000066,2020-06-19,https://www.sec.gov/Archives/edgar/data/14693/000001469320000066/bfb-2020430x10kapril.htm
BF-B,2021,0000014693,0000014693-22-000069,2022-06-17,https://www.sec.gov/Archives/edgar/data/14693/000001469322000069/bfb-20220430.htm
BF-B,2023,0000014693,0000014693-24-000086,2024-06-14,https://www.sec.gov/Archives/edgar/data/14693/000001469324000086/bfb-20240430.htm
BG,2023,0001996862,0001996862-24-000007,2024-02-22,https://www.sec.gov/Archives/edgar/data/1996862/000199686224000007/bg-20231231.htm
BIIB,2019,0000875045,0000875045-20-000005,2020-02-06,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/biib-20191231x10k.htm
BIIB,2021,0000875045,0000875045-22-000007,2022-02-03,https://www.sec.gov/Archives/edgar/data/875045/000087504522000007/biib-20211231.htm
BIIB,2023,0000875045,0000875045-24-000009,2024-02-14,https://www.sec.gov/Archives/edgar/data/875045/000087504524000009/biib-20231231.htm
BK,2019,0001390777,0001390777-20-000044,2020-02-27,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/form10-k4q19.htm
BK,2021,0001390777,0001390777-22-000043,2022-02-25,https://www.sec.gov/Archives/edgar/data/1390777/000139077722000043/bk-20211231.htm
BK,2023,0001390777,0001390777-24-000051,2024-02-28,https://www.sec.gov/Archives/edgar/data/1390777/000139077724000051/bk-20231231.htm
BKNG,2019,0001075531,0001075531-20-000011,2020-02-26,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000011/bkng1231201910k.htm
BKNG,2021,0001075531,0001075531-22-000008,2022-02-23,https://www.sec.gov/Archives/edgar/data/1075531/000107553122000008/bkng-20211231.htm
BKNG,2023,0001075531,0001075531-24-000014,2024-02-22,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm
BKR,2019,0001701605,0001701605-20-000019,2020-02-13,https://www.sec.gov/Archives/edgar/data/1701605/000170160520000019/fiscalyear2019form10-k.htm
BKR,2021,0001701605,0001701605-22-000050,2022-02-11,https://www.sec.gov/Archives/edgar/data/1701605/000170160522000050/bkr-20211231.htm
BKR,2023,0001701605,0001701605-24-000033,2024-02-05,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000033/bkr-20231231.htm
BLDR,2019,0001316835,0001564590-20-005717,2020-02-21,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/bldr-10k_20191231.htm
BLDR,2021,0001316835,0001564590-22-007980,2022-03-01,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/bldr-10k_20211231.htm
BLDR,2023,0001316835,0000950170-24-018584,2024-02-22,https://www.sec.gov/Archives/edgar/data/1316835/000095017024018584/bldr-20231231.htm
BMY,2019,0000014272,0000014272-20-000082,2020-02-24,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm
